accountid  ,oybaccountid,jobid      ,listid     ,batchid    ,subscriberid,subscriberkey                                                                                                                                                                                                                                                 ,eventdate              ,domain                                                                                                                          ,isunique,triggerersenddefinitionobjectid     ,triggeredsendcustomerkey            
  555555555,   555555555,      19702,        340,       1779,    36918555,36918555@gmail.com                                                                                                                                                                                                                                            ,2022-10-31 12:59:00.000,devsutd.com                                                                                                                     ,       1,5D385D21-07F3-EC11-B83A-48DF37E41F4C,22110F87-93ED-4E45-A496-10238966D463
  555555555,   555555555,      19702,        340,       1866,    31639526,31639526@gmail.com                                                                                                                                                                                                                                            ,2022-10-31 12:59:00.000,devsutd.com                                                                                                                     ,       1,5D385D21-07F3-EC11-B83A-48DF37E41F4C,6C37F9D2-7D30-4EE4-AAB3-D08489FED1FF
  555555555,   555555555,      19703,        340,      16807,    43174424,43174424@gmail.com                                                                                                                                                                                                                                            ,2022-10-31 12:59:00.000,devsutd.com                                                                                                                     ,       1,75965DF9-06F3-EC11-B83A-48DF37E41F4C,A108746F-4DED-4698-B607-BC0316FE6525
  555555555,   555555555,      19703,        340,      16807,    43874903,43874903@gmail.com                                                                                                                                                                                                                                            ,2022-10-31 12:59:00.000,devsutd.com                                                                                                                     ,       1,75965DF9-06F3-EC11-B83A-48DF37E41F4C,C4B1C7CA-A2D5-403E-BF06-76EA9B8D11B0
  555555555,   555555555,      19704,        340,      24952,    34194349,34194349@gmail.com                                                                                                                                                                                                                                            ,2022-10-31 12:59:00.000,devsutd.com                                                                                                                     ,       0,519F1281-06F3-EC11-B83A-48DF37E41F4C,C56B0400-BDAB-411C-B2AA-2D954C58F8B8
  555555555,   555555555,      19704,        340,      37728,    35402912,35402912@aol.com                                                                                                                                                                                                                                              ,2022-10-31 12:59:00.000,devsutd.com                                                                                                                     ,       1,519F1281-06F3-EC11-B83A-48DF37E41F4C,13A1293D-8AC2-49CC-837E-9956D0CF3686
  555555555,   555555555,      19704,        340,      40110,    43770475,43770475@gmail.com                                                                                                                                                                                                                                            ,2022-10-31 12:59:00.000,devsutd.com                                                                                                                     ,       0,519F1281-06F3-EC11-B83A-48DF37E41F4C,B43673EC-1827-4FBB-A6E8-BD5654F3BC47
  555555555,   555555555,      19704,        340,      41784,    13184811,13184811@gmail.com                                                                                                                                                                                                                                            ,2022-10-31 12:59:00.000,devsutd.com                                                                                                                     ,       1,519F1281-06F3-EC11-B83A-48DF37E41F4C,CD0124CD-9514-4D27-80D6-312745826200
  555555555,   555555555,      20874,        340,      14011,    34753217,34753217@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 12:59:00.000,devsutd.com                                                                                                                     ,       1,<null>                              ,1B4850C3-26A9-4419-B377-21A63734D3A7
  555555555,   555555555,      20902,        340,       2002,     7743492,7743492@yahoo.com                                                                                                                                                                                                                                             ,2022-10-31 12:59:00.000,devsutd.com                                                                                                                     ,       1,<null>                              ,738965B0-0B7C-4F9E-A1CE-0BC17E5807FD
  555555555,   555555555,      20902,        340,       6069,    43615170,43615170@icloud.com                                                                                                                                                                                                                                           ,2022-10-31 12:59:00.000,devsutd.com                                                                                                                     ,       1,<null>                              ,BBCC8461-8CDF-435B-95EF-7870B9E8FED5
  555555555,   555555555,      20902,        340,      17030,    42009582,42009582@gmail.com                                                                                                                                                                                                                                            ,2022-10-31 12:59:00.000,devsutd.com                                                                                                                     ,       0,<null>                              ,EB82D470-592D-4158-B3DA-5321FAE5303E
  555555555,   555555555,      20904,        340,      12009,    35059359,35059359@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 12:59:00.000,devsutd.com                                                                                                                     ,       1,<null>                              ,58B4FF16-9734-4218-824F-155434C1699E
  555555555,   555555555,      20905,        340,      16025,    36237477,36237477@gmail.com                                                                                                                                                                                                                                            ,2022-10-31 12:59:00.000,devsutd.com                                                                                                                     ,       1,<null>                              ,C6A6E729-6691-409C-AC3B-98B32A7707CB
  555555555,   555555555,      20905,        340,      19017,    35137622,35137622@gmail.com                                                                                                                                                                                                                                            ,2022-10-31 12:59:00.000,devsutd.com                                                                                                                     ,       1,<null>                              ,E5DAA5A3-A89A-48D3-80C3-3CC7AE8BD237
  555555555,   555555555,      20905,        340,      23009,    34649309,34649309@gmail.com                                                                                                                                                                                                                                            ,2022-10-31 12:59:00.000,devsutd.com                                                                                                                     ,       1,<null>                              ,39A0DB49-0F72-4E1A-A7BA-AF2CEC8A6581
  555555555,   555555555,      20906,        340,       9124,    36938049,36938049@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 12:59:00.000,devsutd.com                                                                                                                     ,       1,<null>                              ,2D13AC9F-9C87-47AA-AA67-DDD4F7B5E92B
  555555555,   555555555,      20906,        340,      21125,    39241946,39241946@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 12:59:00.000,devsutd.com                                                                                                                     ,       1,<null>                              ,31F0E76D-C9A3-4C87-8F53-0CD968140464
  555555555,   555555555,      20907,        340,      27061,    38157488,38157488@gmail.com                                                                                                                                                                                                                                            ,2022-10-31 12:59:00.000,devsutd.com                                                                                                                     ,       1,<null>                              ,99AB8560-6DF1-45C4-BCEE-5432CEE50266
  555555555,   555555555,      20923,        340,       5188,    39259227,39259227@gmail.com                                                                                                                                                                                                                                            ,2022-10-31 12:59:00.000,devsutd.com                                                                                                                     ,       1,<null>                              ,FDB2DAD2-C0B2-49E4-AAED-F1415F0CFC1D
  555555555,   555555555,      20921,        805,      16013,    35433530,35433530@hotmail.com                                                                                                                                                                                                                                          ,2022-10-31 00:59:00.000,devsutd.com                                                                                                                     ,       1,<null>                              ,06159731-E1EC-48F3-AFA1-B9DCAC2F0B51
  555555555,   555555555,      19704,        340,      38824,    35393622,35393622@gmail.com                                                                                                                                                                                                                                            ,2022-10-31 00:59:00.000,devsutd.com                                                                                                                     ,       0,519F1281-06F3-EC11-B83A-48DF37E41F4C,0B2C35E8-A7C1-43F1-A0B7-2BD90C9E079A
  555555555,   555555555,      19703,        340,      16389,    43779623,43779623@gmail.com                                                                                                                                                                                                                                            ,2022-10-31 00:59:00.000,devsutd.com                                                                                                                     ,       1,75965DF9-06F3-EC11-B83A-48DF37E41F4C,E6B4C4D6-85F3-4ECB-8E62-E4BC94D0746A
  555555555,   555555555,      19702,        340,       1437,    36375625,36375625@gmail.com                                                                                                                                                                                                                                            ,2022-10-31 00:59:00.000,devsutd.com                                                                                                                     ,       1,5D385D21-07F3-EC11-B83A-48DF37E41F4C,E20C77AA-CFA0-4576-9931-E4B6A01F59E7
  555555555,   555555555,      19702,        340,       1744,    27532330,27532330@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 12:58:00.000,devsutd.com                                                                                                                     ,       1,5D385D21-07F3-EC11-B83A-48DF37E41F4C,61663CDC-EFF5-4723-8D9F-E438A1BC9DF1
  555555555,   555555555,      19702,        340,       1572,    21627426,21627426@gmail.com                                                                                                                                                                                                                                            ,2022-10-31 12:58:00.000,devsutd.com                                                                                                                     ,       0,5D385D21-07F3-EC11-B83A-48DF37E41F4C,18166802-932D-4F95-8AF1-CD4E4043EAEA
  555555555,   555555555,      19702,        340,       1856,    37437033,37437033@hotmail.com                                                                                                                                                                                                                                          ,2022-10-31 12:58:00.000,devsutd.com                                                                                                                     ,       1,5D385D21-07F3-EC11-B83A-48DF37E41F4C,1D84BBE4-74AA-4317-B3AD-A9044725E08E
  555555555,   555555555,      19702,        340,       1820,    43607112,43607112@gmail.com                                                                                                                                                                                                                                            ,2022-10-31 12:58:00.000,devsutd.com                                                                                                                     ,       1,5D385D21-07F3-EC11-B83A-48DF37E41F4C,D31FD19D-D8EF-4CC8-93A2-3E148B881E8D
  555555555,   555555555,      19704,        340,      23567,    42953867,42953867@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 12:58:00.000,devsutd.com                                                                                                                     ,       1,519F1281-06F3-EC11-B83A-48DF37E41F4C,0C2BCD15-D8A6-4DF9-9B1A-C972DC5D8FF5
  555555555,   555555555,      19701,        340,        188,    35179070,35179070@hotmail.com                                                                                                                                                                                                                                          ,2022-10-31 12:58:00.000,devsutd.com                                                                                                                     ,       0,CD06E440-07F3-EC11-B83A-48DF37E41F4C,DA0FADB7-0AEF-4284-964C-46B836EAE418
  555555555,   555555555,      19663,        340,      10920,    43758616,43758616@gmail.com                                                                                                                                                                                                                                            ,2022-10-31 12:58:00.000,devsutd.com                                                                                                                     ,       1,402BA4F3-2CF3-EC11-B83A-48DF37E41F4C,A3B75BEA-8E3B-4FE4-B2B5-165F3236A013
  555555555,   555555555,      19702,        340,        871,    36629984,36629984@hotmail.com                                                                                                                                                                                                                                          ,2022-10-31 12:58:00.000,devsutd.com                                                                                                                     ,       1,5D385D21-07F3-EC11-B83A-48DF37E41F4C,2D1DBB53-4A8A-463D-8604-64040CD44780
  555555555,   555555555,      19704,        340,      40702,    19363142,19363142@gmail.com                                                                                                                                                                                                                                            ,2022-10-31 12:58:00.000,devsutd.com                                                                                                                     ,       0,519F1281-06F3-EC11-B83A-48DF37E41F4C,064AFEDB-F0A3-4F57-BB24-F94038C4B372
  555555555,   555555555,      19704,        340,      39159,    32526661,32526661@icloud.com                                                                                                                                                                                                                                           ,2022-10-31 12:58:00.000,devsutd.com                                                                                                                     ,       1,519F1281-06F3-EC11-B83A-48DF37E41F4C,3038795F-31E8-49D5-9A4E-1D197E4842C3
  555555555,   555555555,      20924,        340,      26010,    34651418,34651418@hotmail.com                                                                                                                                                                                                                                          ,2022-10-31 12:58:00.000,devsutd.com                                                                                                                     ,       1,<null>                              ,CD133909-782B-4160-BA9F-C1950A6E736A
  555555555,   555555555,      20926,        340,       4025,    37225709,37225709@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 12:58:00.000,devsutd.com                                                                                                                     ,       1,<null>                              ,026ACA5C-CAEF-44BC-947C-43B4C83C4553
  555555555,   555555555,      20907,        340,      18004,    10642344,10642344@gmail.com                                                                                                                                                                                                                                            ,2022-10-31 12:58:00.000,devsutd.com                                                                                                                     ,       1,<null>                              ,F54FA60C-8B4A-4D78-8D55-5508F7EDA9AB
  555555555,   555555555,      20906,        340,      24151,    38201812,38201812@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 12:58:00.000,devsutd.com                                                                                                                     ,       1,<null>                              ,7FB14976-EF9B-4745-A066-0A92B0ACA602
  555555555,   555555555,      20906,        340,       1158,    37195705,37195705@gmail.com                                                                                                                                                                                                                                            ,2022-10-31 12:58:00.000,devsutd.com                                                                                                                     ,       1,<null>                              ,D314976A-6D77-4AE1-AF84-23616D9AAAC7
  555555555,   555555555,      20905,        340,      27045,    38308678,38308678@aol.com                                                                                                                                                                                                                                              ,2022-10-31 12:58:00.000,devsutd.com                                                                                                                     ,       1,<null>                              ,CC008921-31B7-40FF-A4E0-13CB28D30114
  555555555,   555555555,      20904,        340,       9025,    36910234,36910234@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 12:58:00.000,devsutd.com                                                                                                                     ,       1,<null>                              ,530000B1-6CD1-4C68-84BF-C1FA17BAB33B
  555555555,   555555555,      20903,        340,      26012,    37700784,37700784@gmail.com                                                                                                                                                                                                                                            ,2022-10-31 12:58:00.000,devsutd.com                                                                                                                     ,       1,<null>                              ,0F6B223B-D74F-4ED2-A5A0-A7A3821FA1D3
  555555555,   555555555,      20903,        340,      19040,    38217139,38217139@hotmail.com                                                                                                                                                                                                                                          ,2022-10-31 12:58:00.000,devsutd.com                                                                                                                     ,       1,<null>                              ,9AE79DF7-54EC-4924-B755-CF4A394A95AB
  555555555,   555555555,      20903,        340,      21032,    36734127,36734127@icloud.com                                                                                                                                                                                                                                           ,2022-10-31 12:58:00.000,devsutd.com                                                                                                                     ,       1,<null>                              ,014E4447-0CD3-43DE-B5E5-DCA71BB2BAB6
  555555555,   555555555,      20903,        340,      21047,    38134028,38134028@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 12:58:00.000,devsutd.com                                                                                                                     ,       0,<null>                              ,CBE0E916-768C-44FA-B27B-B6CB63EA9EE3
  555555555,   555555555,      20903,        340,      10019,    35544569,35544569@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 12:58:00.000,devsutd.com                                                                                                                     ,       1,<null>                              ,BB0F0454-EC8B-4093-980C-A1914E9C4C41
  555555555,   555555555,      20902,        340,      30032,    41401940,41401940@gmail.com                                                                                                                                                                                                                                            ,2022-10-31 12:58:00.000,devsutd.com                                                                                                                     ,       1,<null>                              ,008B75AC-231E-4400-97F9-84A995858508
  555555555,   555555555,      20903,        340,       2027,    35975920,35975920@gmail.com                                                                                                                                                                                                                                            ,2022-10-31 12:58:00.000,devsutd.com                                                                                                                     ,       1,<null>                              ,C9C30C1A-DD34-4103-AEE9-E2A9BFF04688
  555555555,   555555555,      20902,        340,      16006,    33018909,33018909@gmail.com                                                                                                                                                                                                                                            ,2022-10-31 12:58:00.000,devsutd.com                                                                                                                     ,       1,<null>                              ,6CD1C257-F892-49C7-B53C-EBE76EF4E3F8
  555555555,   555555555,      20902,        340,      22044,    40956280,40956280@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 12:58:00.000,devsutd.com                                                                                                                     ,       1,<null>                              ,51CBDDB0-0D8A-4D30-BAD6-A94F23FEA815
  555555555,   555555555,      20902,        340,      25015,    33163393,33163393@gmail.com                                                                                                                                                                                                                                            ,2022-10-31 12:58:00.000,devsutd.com                                                                                                                     ,       1,<null>                              ,114896B5-43C4-4C51-AD16-A62A3CBAD554
  555555555,   555555555,      20902,        340,       2002,     7729414,7729414@yahoo.com                                                                                                                                                                                                                                             ,2022-10-31 12:58:00.000,devsutd.com                                                                                                                     ,       1,<null>                              ,262AF9AD-241B-41A3-B2A3-8D75EB1033C3
  555555555,   555555555,      20902,        340,       4013,    33523606,33523606@live.com                                                                                                                                                                                                                                             ,2022-10-31 12:58:00.000,devsutd.com                                                                                                                     ,       1,<null>                              ,B6C06FF2-47B7-4A8A-8905-C19081B199A2
  555555555,   555555555,      20927,        340,      11028,    37568451,37568451@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 00:58:00.000,devsutd.com                                                                                                                     ,       1,<null>                              ,3F8BADDE-4E5C-48C2-93B0-57197CA4BF5D
  555555555,   555555555,      20927,        340,      23016,    35722761,35722761@gmail.com                                                                                                                                                                                                                                            ,2022-10-31 00:58:00.000,devsutd.com                                                                                                                     ,       1,<null>                              ,69D6B920-BAB3-4ADD-B998-A41E285F6472
  555555555,   555555555,      20919,        340,      15030,    38004454,38004454@gmail.com                                                                                                                                                                                                                                            ,2022-10-31 00:58:00.000,devsutd.com                                                                                                                     ,       1,<null>                              ,04A2835C-994C-4E08-873F-86422CD18224
  555555555,   555555555,      20893,        340,       7003,     8184982,8184982@gmail.com                                                                                                                                                                                                                                             ,2022-10-31 00:58:00.000,devsutd.com                                                                                                                     ,       1,<null>                              ,7F9EDA46-32B6-4AE4-89B9-68A7ABA3C581
  555555555,   555555555,      19704,        340,      40728,    42810215,42810215@gmail.com                                                                                                                                                                                                                                            ,2022-10-31 00:58:00.000,devsutd.com                                                                                                                     ,       1,519F1281-06F3-EC11-B83A-48DF37E41F4C,011C987B-8BC2-4AF6-84FB-A9A965804534
  555555555,   555555555,      19644,        340,      30285,    36324572,36324572@hotmail.com                                                                                                                                                                                                                                          ,2022-10-31 12:57:00.000,devsutd.com                                                                                                                     ,       0,9966E027-5DF3-EC11-B83A-48DF37E41F4C,00FD0786-C18F-423C-8163-C544C914539D
  555555555,   555555555,      19702,        340,       1027,    29447789,29447789@gmail.com                                                                                                                                                                                                                                            ,2022-10-31 12:57:00.000,devsutd.com                                                                                                                     ,       0,5D385D21-07F3-EC11-B83A-48DF37E41F4C,DAD11567-2A0A-4F30-9A91-41E9531E6707
  555555555,   555555555,      19701,        340,        178,    42654506,42654506@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 12:57:00.000,devsutd.com                                                                                                                     ,       0,CD06E440-07F3-EC11-B83A-48DF37E41F4C,015BF611-2D4D-4E98-AEE5-CCDA1508D578
  555555555,   555555555,      19701,        340,        132,    38202997,38202997@icloud.com                                                                                                                                                                                                                                           ,2022-10-31 12:57:00.000,devsutd.com                                                                                                                     ,       0,CD06E440-07F3-EC11-B83A-48DF37E41F4C,B7320DFC-CCCE-4C6E-BE82-0FE767A1AB99
  555555555,   555555555,      19701,        340,        325,    31494460,31494460@gmail.com                                                                                                                                                                                                                                            ,2022-10-31 12:57:00.000,devsutd.com                                                                                                                     ,       1,CD06E440-07F3-EC11-B83A-48DF37E41F4C,A60FC436-86B3-45BE-BD04-79C4ABE2F406
  555555555,   555555555,      19702,        340,        127,    28777404,28777404@hotmail.com                                                                                                                                                                                                                                          ,2022-10-31 12:57:00.000,devsutd.com                                                                                                                     ,       0,5D385D21-07F3-EC11-B83A-48DF37E41F4C,AF654E5E-71DB-4ACD-9115-E9A90A905996
  555555555,   555555555,      19704,        340,      12984,    31879773,31879773@gmail.com                                                                                                                                                                                                                                            ,2022-10-31 12:57:00.000,devsutd.com                                                                                                                     ,       0,519F1281-06F3-EC11-B83A-48DF37E41F4C,523D869D-F25F-49DE-B6A4-0F8CC55C1F03
  555555555,   555555555,      19702,        340,       1757,     7451983,7451983@hotmail.com                                                                                                                                                                                                                                           ,2022-10-31 12:57:00.000,devsutd.com                                                                                                                     ,       1,5D385D21-07F3-EC11-B83A-48DF37E41F4C,39545968-97E0-4700-A128-4269162F2ED1
  555555555,   555555555,      19702,        340,       1863,    28575966,28575966@gmail.com                                                                                                                                                                                                                                            ,2022-10-31 12:57:00.000,devsutd.com                                                                                                                     ,       1,5D385D21-07F3-EC11-B83A-48DF37E41F4C,62573BD8-A245-42C6-A8B7-06E7E935D54B
  555555555,   555555555,      19702,        340,       1862,    43606408,43606408@gmail.com                                                                                                                                                                                                                                            ,2022-10-31 12:57:00.000,devsutd.com                                                                                                                     ,       1,5D385D21-07F3-EC11-B83A-48DF37E41F4C,2806369F-2BC5-4C2E-98E9-ABDCB53242D3
  555555555,   555555555,      19702,        340,       1869,    30763649,30763649@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 12:57:00.000,devsutd.com                                                                                                                     ,       1,5D385D21-07F3-EC11-B83A-48DF37E41F4C,17A622E4-3588-46C8-AA69-50A861872EB4
  555555555,   555555555,      19702,        340,       1385,    29672442,29672442@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 12:57:00.000,devsutd.com                                                                                                                     ,       0,5D385D21-07F3-EC11-B83A-48DF37E41F4C,B0AD9579-1DB8-43C4-9324-47AE2C030E6B
  555555555,   555555555,      19704,        340,      42210,    43873748,43873748@gmail.com                                                                                                                                                                                                                                            ,2022-10-31 12:57:00.000,devsutd.com                                                                                                                     ,       1,519F1281-06F3-EC11-B83A-48DF37E41F4C,C972CB45-4421-453E-9531-CD739A7A6521
  555555555,   555555555,      19704,        340,      32612,    43446717,43446717@gmail.com                                                                                                                                                                                                                                            ,2022-10-31 12:57:00.000,devsutd.com                                                                                                                     ,       0,519F1281-06F3-EC11-B83A-48DF37E41F4C,F6A41737-069F-46F0-AF35-AF54506A064E
  555555555,   555555555,      19710,        340,        894,    30743642,30743642@comcast.net                                                                                                                                                                                                                                          ,2022-10-31 12:57:00.000,devsutd.com                                                                                                                     ,       1,3101859A-5B43-ED11-B841-48DF37E41D3A,416E71E4-F95C-4A95-BE7B-E572AC17A8A1
  555555555,   555555555,      20927,        340,      18012,    35280293,35280293@gmail.com                                                                                                                                                                                                                                            ,2022-10-31 12:57:00.000,devsutd.com                                                                                                                     ,       0,<null>                              ,FDA065C0-9F3F-4E6A-A09D-1F308C5F9D07
  555555555,   555555555,      20903,        340,      12029,    38244366,38244366@gmail.com                                                                                                                                                                                                                                            ,2022-10-31 12:57:00.000,devsutd.com                                                                                                                     ,       1,<null>                              ,1D089AD5-F2BD-4DF2-B16D-0EC71D9F9775
  555555555,   555555555,      20904,        340,       6031,    36407512,36407512@gmail.com                                                                                                                                                                                                                                            ,2022-10-31 12:57:00.000,devsutd.com                                                                                                                     ,       1,<null>                              ,0598DAF9-DF3A-4DE1-BA83-4934B635D9B2
  555555555,   555555555,      20904,        340,       5014,    34713696,34713696@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 12:57:00.000,devsutd.com                                                                                                                     ,       1,<null>                              ,081BBA5D-70C3-4E22-9BAB-CB3D44802B84
  555555555,   555555555,      20905,        340,      13031,    38225386,38225386@icloud.com                                                                                                                                                                                                                                           ,2022-10-31 12:57:00.000,devsutd.com                                                                                                                     ,       1,<null>                              ,E4A973F7-171F-4383-9D90-6992DCFEA173
  555555555,   555555555,      20904,        340,      31041,    38106904,38106904@gmail.com                                                                                                                                                                                                                                            ,2022-10-31 12:57:00.000,devsutd.com                                                                                                                     ,       1,<null>                              ,91400491-26EF-4AD8-BF10-2D9046AF981E
  555555555,   555555555,      20905,        340,       6023,    36670778,36670778@hotmail.com                                                                                                                                                                                                                                          ,2022-10-31 12:57:00.000,devsutd.com                                                                                                                     ,       1,<null>                              ,85A53901-9188-4E68-A992-D4AFD091F9C7
  555555555,   555555555,      20905,        340,       7037,    37766820,37766820@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 12:57:00.000,devsutd.com                                                                                                                     ,       1,<null>                              ,2F70C64A-1360-4A51-977E-5A7D2D4397E3
  555555555,   555555555,      20905,        340,      20003,     8773427,8773427@yahoo.com                                                                                                                                                                                                                                             ,2022-10-31 12:57:00.000,devsutd.com                                                                                                                     ,       1,<null>                              ,E5CE2419-3289-45A0-A2DD-8FFC531E925E
  555555555,   555555555,      20906,        340,       4004,     8273286,8273286@gmail.com                                                                                                                                                                                                                                             ,2022-10-31 12:57:00.000,devsutd.com                                                                                                                     ,       1,<null>                              ,F48045AC-1830-4054-B7C4-D3F6B41DF172
  555555555,   555555555,      20906,        340,       9117,    36694366,36694366@gmail.com                                                                                                                                                                                                                                            ,2022-10-31 12:57:00.000,devsutd.com                                                                                                                     ,       1,<null>                              ,3EA7654F-F21B-4A6C-B86C-9D00AC1FA685
  555555555,   555555555,      20926,        340,      25019,    36850919,36850919@gmail.com                                                                                                                                                                                                                                            ,2022-10-31 00:57:00.000,devsutd.com                                                                                                                     ,       0,<null>                              ,F6A5AB3B-66F1-4B7B-B032-0C181E1AB6C9
  555555555,   555555555,      20924,        340,      18019,    35795514,35795514@aol.com                                                                                                                                                                                                                                              ,2022-10-31 00:57:00.000,devsutd.com                                                                                                                     ,       1,<null>                              ,5A2E44D1-C1BC-4EC7-99D6-CB8D3CADA80A
  555555555,   555555555,      20919,        340,      22032,    37865324,37865324@gmail.com                                                                                                                                                                                                                                            ,2022-10-31 00:57:00.000,devsutd.com                                                                                                                     ,       1,<null>                              ,2C658DBE-D736-47D4-A6E9-9E42C0595D0C
  555555555,   555555555,      20921,        805,      26023,    37100463,37100463@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 00:57:00.000,devsutd.com                                                                                                                     ,       1,<null>                              ,A3831672-B8BC-4A55-8326-AA8368597CFF
  555555555,   555555555,      19537,        340,       1325,    35167201,35167201@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 12:56:00.000,devsutd.com                                                                                                                     ,       1,2C9828FF-7129-ED11-B841-48DF37E41D3A,177DB1B5-7509-40E7-A736-20C8745E5924
  555555555,   555555555,      19702,        340,       1621,    43347016,43347016@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 12:56:00.000,devsutd.com                                                                                                                     ,       0,5D385D21-07F3-EC11-B83A-48DF37E41F4C,08104653-BC0E-4876-928E-588DC1652780
  555555555,   555555555,      19702,        340,       1696,    36660616,36660616@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 12:56:00.000,devsutd.com                                                                                                                     ,       1,5D385D21-07F3-EC11-B83A-48DF37E41F4C,1B613075-DA1E-4C9D-8FBB-C395F879C16C
  555555555,   555555555,      19702,        340,       1852,    43635325,43635325@gmail.com                                                                                                                                                                                                                                            ,2022-10-31 12:56:00.000,devsutd.com                                                                                                                     ,       1,5D385D21-07F3-EC11-B83A-48DF37E41F4C,B3C9A0AF-6295-4E2D-A5D9-882B8EC7E5DE
  555555555,   555555555,      19702,        340,       1819,    43468841,43468841@gmail.com                                                                                                                                                                                                                                            ,2022-10-31 12:56:00.000,devsutd.com                                                                                                                     ,       1,5D385D21-07F3-EC11-B83A-48DF37E41F4C,876B58E7-5E7A-44C3-86DA-AB7C323F8064
  555555555,   555555555,      20906,        340,         70,    39172593,39172593@gmail.com                                                                                                                                                                                                                                            ,2022-10-31 12:56:00.000,devsutd.com                                                                                                                     ,       1,<null>                              ,2D449A84-1EE6-42B5-8CEE-770AC1E89017
  555555555,   555555555,      20906,        340,      27214,    42582923,42582923@icloud.com                                                                                                                                                                                                                                           ,2022-10-31 12:56:00.000,devsutd.com                                                                                                                     ,       1,<null>                              ,FB5D8EEA-8340-4757-97B1-CEDB324CE04A
