channelid                                                                                                                       ,contactid           ,contactkey                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,addressid                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,isactive,createddate            ,modifieddate           
4C806088-2BBD-4803-949B-403702172073                                                                                            ,            36918555,36918555@gmail.com                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,69B2A166-F9BC-4449-B574-F642A66D5ADF                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,       1,2022-10-31 12:59:00.000,2022-10-31 12:59:00.000
30F83728-2AC5-4C53-AD97-1B0A433C604A                                                                                            ,            31639526,31639526@gmail.com                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,CD6CE824-B955-408A-9032-D2CE6D00AE83                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,       1,2022-10-31 12:59:00.000,2022-10-31 12:59:00.000
851AE2E3-4943-4EBC-A819-5BE12E2A8DDD                                                                                            ,            43174424,43174424@gmail.com                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,E46DB865-A02F-46EE-8F76-CCC73EB1C18C                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,       1,2022-10-31 12:59:00.000,2022-10-31 12:59:00.000
470D59DB-87AE-4A64-9431-38B94C37310F                                                                                            ,            43874903,43874903@gmail.com                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,4BA1CB47-6B68-4D5D-BE70-083FAEA7DB04                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,       1,2022-10-31 12:59:00.000,2022-10-31 12:59:00.000
350D0A7F-11F1-4CBA-A7AF-C14F2A5AE0EB                                                                                            ,            34194349,34194349@gmail.com                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,4F3AB3B7-3B24-43C7-9E81-55C9165CD19E                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,       1,2022-10-31 12:59:00.000,2022-10-31 12:59:00.000
47CB789C-6703-49FE-B901-5512FCB36C3A                                                                                            ,            40083565,40083565@gmail.com                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,A9D30810-D7F0-4390-B037-1DC1A4819099                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,       1,2022-10-31 12:59:00.000,2022-10-31 12:59:00.000
A2ACCABB-483A-4BD1-BB33-301B43D8CE70                                                                                            ,            35402912,35402912@aol.com                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,2283D3E0-B383-4FC8-82F7-75C438D390AF                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,       1,2022-10-31 12:59:00.000,2022-10-31 12:59:00.000
C7C23E43-29AF-45E9-8D52-E542E6A19899                                                                                            ,            43770475,43770475@gmail.com                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,C124CA6F-D95F-4F04-A7E8-0F12CC93BB49                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,       1,2022-10-31 12:59:00.000,2022-10-31 12:59:00.000
8BDFC362-D6FB-4736-9994-1A597FC33CCE                                                                                            ,            13184811,13184811@gmail.com                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,4565C7F1-70CB-4CD3-B4D5-1DFDE6454BE6                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,       1,2022-10-31 12:59:00.000,2022-10-31 12:59:00.000
E375BA61-2BDD-4502-BEA4-1AB023C4414E                                                                                            ,            34753217,34753217@yahoo.com                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,91FC6B78-6053-4944-A770-87AAA831A36D                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,       1,2022-10-31 12:59:00.000,2022-10-31 12:59:00.000
89765765-285E-4DAF-AF09-346ED3254DD3                                                                                            ,             7743492,7743492@yahoo.com                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,74020659-1819-49EB-B33D-1E54B2141CC2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,       1,2022-10-31 12:59:00.000,2022-10-31 12:59:00.000
D2E40AD3-52FE-4343-9A91-17966B34F882                                                                                            ,            43615170,43615170@icloud.com                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,70A7F492-D5BF-4240-8F77-80746B4939BA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,       1,2022-10-31 12:59:00.000,2022-10-31 12:59:00.000
2CE56A80-4D99-4B5E-BB2B-F2F7C182E132                                                                                            ,            42009582,42009582@gmail.com                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,ACFA0066-D91D-4307-A61E-0D1EB4B5747C                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,       1,2022-10-31 12:59:00.000,2022-10-31 12:59:00.000
EDCF100F-2331-4E7D-9F57-E45EEC44A21E                                                                                            ,            35059359,35059359@yahoo.com                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,CCB7EABF-4296-4D31-BA17-E4E208443ACB                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,       1,2022-10-31 12:59:00.000,2022-10-31 12:59:00.000
2AF0CB84-DF4D-4AE1-8E35-C2172E7BB0AB                                                                                            ,            36237477,36237477@gmail.com                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,1FE89EA3-1FDE-4B1B-BB59-A904C3A0DBF6                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,       1,2022-10-31 12:59:00.000,2022-10-31 12:59:00.000
EF3C4C72-B106-4506-AA40-E1867955CDE5                                                                                            ,            35137622,35137622@gmail.com                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,0C7E70B2-E21F-44F0-9527-07BF61C90444                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,       1,2022-10-31 12:59:00.000,2022-10-31 12:59:00.000
0ED924AC-0EB5-43B4-9E9C-191F0EFC81A6                                                                                            ,            34649309,34649309@gmail.com                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,130F9772-A25F-48E8-A626-842A3369E7C6                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,       1,2022-10-31 12:59:00.000,2022-10-31 12:59:00.000
F0B9652D-1C26-497E-81E2-16BC050CA31D                                                                                            ,            36938049,36938049@yahoo.com                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,D36951FC-C617-4E47-82DD-AB1C4ED57DBA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,       1,2022-10-31 12:59:00.000,2022-10-31 12:59:00.000
4C19FF1D-3E07-4448-9669-75D910BFF1CC                                                                                            ,            39241946,39241946@yahoo.com                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,E780D239-A705-4F05-A3AC-2521C6597364                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,       1,2022-10-31 12:59:00.000,2022-10-31 12:59:00.000
FC58AFC7-8095-4884-A0DD-72601E41B9F9                                                                                            ,            38157488,38157488@gmail.com                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,0F3BA098-04A1-4C65-BC08-6648FF0D79F5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,       1,2022-10-31 12:59:00.000,2022-10-31 12:59:00.000
3DC94627-0F81-42A2-A03B-81369A63B8F0                                                                                            ,            39259227,39259227@gmail.com                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,7F3D78DE-64A1-473C-9393-81C38469CFE3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,       1,2022-10-31 12:59:00.000,2022-10-31 12:59:00.000
AE5B1BBA-45EE-472B-A1DF-F6F8E0DBF2F5                                                                                            ,            35433530,35433530@hotmail.com                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,08685A08-7DA9-492F-8769-5BA96C0769F5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,       1,2022-10-31 00:59:00.000,2022-10-31 00:59:00.000
6918DEBB-7E09-46F8-9D4F-058074B6BAD8                                                                                            ,            35393622,35393622@gmail.com                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,14C14676-412A-4265-B2A5-A2099A6DAB8B                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,       1,2022-10-31 00:59:00.000,2022-10-31 00:59:00.000
A0021D57-4936-4D22-9B88-3666F9812BD0                                                                                            ,            43779623,43779623@gmail.com                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,99D71576-FB53-4211-A3BD-B94BC74F0917                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,       1,2022-10-31 00:59:00.000,2022-10-31 00:59:00.000
12DFCC7E-0CED-4F94-8CC2-485CCE4CDB03                                                                                            ,            36375625,36375625@gmail.com                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,421D361F-8AA7-487A-B607-ABC8860E6C58                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,       1,2022-10-31 00:59:00.000,2022-10-31 00:59:00.000
5D5AD2B6-BA84-4769-99A2-8BE91575D5D9                                                                                            ,            27532330,27532330@yahoo.com                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,D564FD5A-AE3E-448B-BAA0-839B1FBDA17C                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,       1,2022-10-31 12:58:00.000,2022-10-31 12:58:00.000
60298D9D-3F1A-4C29-A811-FE00E50BE4ED                                                                                            ,            21627426,21627426@gmail.com                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,1A5856C0-B6C5-4E34-A43F-AA912F235ABA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,       1,2022-10-31 12:58:00.000,2022-10-31 12:58:00.000
