businessunitid      ,subscriberid        ,subscriberkey                                                                                                                                                                                                                                                 ,unsubdateutc           ,unsubreason                                                                                         
           555555555,             1575944,1575944@icloud.com                                                                                                                                                                                                                                            ,2022-09-27 23:27:00.000,Unsubscribed via Import                                                                             
           555555555,             1575972,1575972@icloud.com                                                                                                                                                                                                                                            ,2022-09-27 23:49:00.000,Unsubscribed via Import                                                                             
           555555555,             1576626,1576626@gmail.com                                                                                                                                                                                                                                             ,2022-09-27 23:56:00.000,Unsubscribed via Import                                                                             
           555555555,             1576890,1576890@gmail.com                                                                                                                                                                                                                                             ,2022-09-28 00:04:00.000,Unsubscribed via Import                                                                             
           555555555,             1577193,1577193@icloud.com                                                                                                                                                                                                                                            ,2022-09-27 23:53:00.000,Unsubscribed via Import                                                                             
           555555555,             1577609,1577609@icloud.com                                                                                                                                                                                                                                            ,2022-09-28 00:12:00.000,Unsubscribed via Import                                                                             
           555555555,             1577638,1577638@gmail.com                                                                                                                                                                                                                                             ,2022-09-27 23:36:00.000,Unsubscribed via Import                                                                             
           555555555,             1577721,1577721@aol.com                                                                                                                                                                                                                                               ,2022-09-27 23:52:00.000,Unsubscribed via Import                                                                             
           555555555,             1577788,1577788@gmail.com                                                                                                                                                                                                                                             ,2022-09-27 23:50:00.000,Unsubscribed via Import                                                                             
           555555555,             1577822,1577822@aol.com                                                                                                                                                                                                                                               ,2022-09-28 00:02:00.000,Unsubscribed via Import                                                                             
           555555555,             1577852,1577852@gmail.com                                                                                                                                                                                                                                             ,2022-09-28 00:04:00.000,Unsubscribed via Import                                                                             
           555555555,             1577870,1577870@gmail.com                                                                                                                                                                                                                                             ,2022-09-27 23:52:00.000,Unsubscribed via Import                                                                             
           555555555,             1577903,1577903@gmail.com                                                                                                                                                                                                                                             ,2022-09-27 23:26:00.000,Unsubscribed via Import                                                                             
           555555555,             1577904,1577904@gmail.com                                                                                                                                                                                                                                             ,2022-09-27 23:55:00.000,Unsubscribed via Import                                                                             
           555555555,             1577945,1577945@gmail.com                                                                                                                                                                                                                                             ,2022-11-26 00:42:00.000,Unsubscribed by Salesforce Marketing Cloud RMM service based on subscriber Leave/Reply email.       
           555555555,             1578069,1578069@yahoo.com                                                                                                                                                                                                                                             ,2022-09-28 00:14:00.000,Unsubscribed via Import                                                                             
           555555555,             1578090,1578090@gmail.com                                                                                                                                                                                                                                             ,2022-09-28 00:11:00.000,Unsubscribed via Import                                                                             
           555555555,             1578132,1578132@gmail.com                                                                                                                                                                                                                                             ,2023-01-12 01:18:00.000,Unsubscribed by Salesforce Marketing Cloud RMM service based on subscriber Leave/Reply email.       
           555555555,             1578234,1578234@yahoo.com                                                                                                                                                                                                                                             ,2022-09-27 23:48:00.000,Unsubscribed via Import                                                                             
           555555555,             1578242,1578242@yahoo.com                                                                                                                                                                                                                                             ,2022-09-28 00:15:00.000,Unsubscribed via Import                                                                             
           555555555,             1578243,1578243@yahoo.com                                                                                                                                                                                                                                             ,2022-09-28 00:03:00.000,Unsubscribed via Import                                                                             
           555555555,             1578249,1578249@yahoo.com                                                                                                                                                                                                                                             ,2022-09-27 23:49:00.000,Unsubscribed via Import                                                                             
           555555555,             1578278,1578278@gmail.com                                                                                                                                                                                                                                             ,2022-09-28 00:00:00.000,Unsubscribed via Import                                                                             
           555555555,             1578284,1578284@gmail.com                                                                                                                                                                                                                                             ,2022-09-28 00:10:00.000,Unsubscribed via Import                                                                             
           555555555,             1578374,1578374@gmail.com                                                                                                                                                                                                                                             ,2022-09-27 23:49:00.000,Unsubscribed via Import                                                                             
           555555555,             1578453,1578453@gmail.com                                                                                                                                                                                                                                             ,2022-09-28 00:19:00.000,Unsubscribed via Import                                                                             
           555555555,             1578518,1578518@yahoo.com                                                                                                                                                                                                                                             ,2022-09-27 23:44:00.000,Unsubscribed via Import                                                                             
           555555555,             1578578,1578578@gmail.com                                                                                                                                                                                                                                             ,2022-09-27 23:45:00.000,Unsubscribed via Import                                                                             
           555555555,             1578580,1578580@gmail.com                                                                                                                                                                                                                                             ,2022-09-27 23:28:00.000,Unsubscribed via Import                                                                             
           555555555,             1578604,1578604@gmail.com                                                                                                                                                                                                                                             ,2022-09-28 00:18:00.000,Unsubscribed via Import                                                                             
           555555555,             1578685,1578685@gmail.com                                                                                                                                                                                                                                             ,2023-02-27 12:08:00.000,Unsubscribed by Salesforce Marketing Cloud RMM service based on subscriber Leave/Reply email.       
           555555555,             1578749,1578749@yahoo.com                                                                                                                                                                                                                                             ,2022-09-27 23:46:00.000,Unsubscribed via Import                                                                             
           555555555,             1578786,1578786@gmail.com                                                                                                                                                                                                                                             ,2022-09-28 00:16:00.000,Unsubscribed via Import                                                                             
           555555555,             1578829,1578829@gmail.com                                                                                                                                                                                                                                             ,2022-09-28 00:12:00.000,Unsubscribed via Import                                                                             
           555555555,             1578864,1578864@gmail.com                                                                                                                                                                                                                                             ,2022-09-28 00:06:00.000,Unsubscribed via Import                                                                             
           555555555,             1578881,1578881@gmail.com                                                                                                                                                                                                                                             ,2022-09-28 00:20:00.000,Unsubscribed via Import                                                                             
           555555555,             1578887,1578887@comcast.net                                                                                                                                                                                                                                           ,2022-09-27 23:45:00.000,Unsubscribed via Import                                                                             
           555555555,             1578931,1578931@gmail.com                                                                                                                                                                                                                                             ,2022-09-28 00:21:00.000,Unsubscribed via Import                                                                             
           555555555,             1578936,1578936@icloud.com                                                                                                                                                                                                                                            ,2022-09-27 23:41:00.000,Unsubscribed via Import                                                                             
           555555555,             1579452,1579452@gmail.com                                                                                                                                                                                                                                             ,2022-09-27 23:41:00.000,Unsubscribed via Import                                                                             
           555555555,             1579595,1579595@gmail.com                                                                                                                                                                                                                                             ,2022-09-28 00:01:00.000,Unsubscribed via Import                                                                             
           555555555,             1579684,1579684@icloud.com                                                                                                                                                                                                                                            ,2022-10-17 19:19:00.000,Unsubscribed from the Subscription Center                                                           
           555555555,             1579913,1579913@gmail.com                                                                                                                                                                                                                                             ,2022-09-28 00:01:00.000,Unsubscribed via Import                                                                             
           555555555,             1580199,1580199@gmail.com                                                                                                                                                                                                                                             ,2022-09-28 00:14:00.000,Unsubscribed via Import                                                                             
           555555555,             1580250,1580250@gmail.com                                                                                                                                                                                                                                             ,2022-09-27 23:50:00.000,Unsubscribed via Import                                                                             
           555555555,             1580492,1580492@yahoo.com                                                                                                                                                                                                                                             ,2022-09-27 23:59:00.000,Unsubscribed via Import                                                                             
           555555555,             1580520,1580520@yahoo.com                                                                                                                                                                                                                                             ,2023-01-20 16:16:00.000,Profile Center Unsubscribe                                                                          
           555555555,             1580536,1580536@gmail.com                                                                                                                                                                                                                                             ,2022-09-27 23:54:00.000,Unsubscribed via Import                                                                             
           555555555,             1580574,1580574@yahoo.com                                                                                                                                                                                                                                             ,2022-09-28 00:06:00.000,Unsubscribed via Import                                                                             
           555555555,             1580627,1580627@gmail.com                                                                                                                                                                                                                                             ,2022-09-28 00:13:00.000,Unsubscribed via Import                                                                             
           555555555,             1613486,1613486@hotmail.com                                                                                                                                                                                                                                           ,2022-09-27 23:45:00.000,Unsubscribed via Import                                                                             
           555555555,             1613564,1613564@gmail.com                                                                                                                                                                                                                                             ,2022-09-27 23:45:00.000,Unsubscribed via Import                                                                             
           555555555,             1613567,1613567@yahoo.com                                                                                                                                                                                                                                             ,2022-09-28 00:03:00.000,Unsubscribed via Import                                                                             
           555555555,             1613570,1613570@yahoo.com                                                                                                                                                                                                                                             ,2022-09-27 23:34:00.000,Unsubscribed via Import                                                                             
           555555555,             1613590,1613590@gmail.com                                                                                                                                                                                                                                             ,2022-09-27 23:28:00.000,Unsubscribed via Import                                                                             
           555555555,             1613727,1613727@gmail.com                                                                                                                                                                                                                                             ,2022-09-27 23:26:00.000,Unsubscribed via Import                                                                             
           555555555,             1613731,1613731@gmail.com                                                                                                                                                                                                                                             ,2022-09-27 23:25:00.000,Unsubscribed via Import                                                                             
           555555555,             1613735,1613735@gmail.com                                                                                                                                                                                                                                             ,2022-09-27 23:55:00.000,Unsubscribed via Import                                                                             
           555555555,             1613758,1613758@gmail.com                                                                                                                                                                                                                                             ,2023-01-06 17:02:00.000,Unsubscribed by Salesforce Marketing Cloud RMM service based on subscriber Leave/Reply email.       
           555555555,             1613772,1613772@gmail.com                                                                                                                                                                                                                                             ,2022-09-27 23:45:00.000,Unsubscribed via Import                                                                             
           555555555,             1613803,1613803@yahoo.com                                                                                                                                                                                                                                             ,2022-09-27 23:46:00.000,Unsubscribed via Import                                                                             
           555555555,             1613815,1613815@gmail.com                                                                                                                                                                                                                                             ,2022-09-28 00:08:00.000,Unsubscribed via Import                                                                             
           555555555,             1613823,1613823@gmail.com                                                                                                                                                                                                                                             ,2022-11-11 04:06:00.000,Unsubscribed by Salesforce Marketing Cloud RMM service based on subscriber Leave/Reply email.       
           555555555,             1613845,1613845@aol.com                                                                                                                                                                                                                                               ,2022-09-28 00:06:00.000,Unsubscribed via Import                                                                             
           555555555,             1613846,1613846@yahoo.com                                                                                                                                                                                                                                             ,2022-09-27 23:25:00.000,Unsubscribed via Import                                                                             
           555555555,             1613852,1613852@gmail.com                                                                                                                                                                                                                                             ,2022-09-27 23:58:00.000,Unsubscribed via Import                                                                             
           555555555,             1613910,1613910@gmail.com                                                                                                                                                                                                                                             ,2022-12-16 14:37:00.000,Unsubscribed by Salesforce Marketing Cloud RMM service based on subscriber Leave/Reply email.       
           555555555,             1613946,1613946@gmail.com                                                                                                                                                                                                                                             ,2022-09-28 00:21:00.000,Unsubscribed via Import                                                                             
           555555555,             1613973,1613973@gmail.com                                                                                                                                                                                                                                             ,2022-09-28 00:01:00.000,Unsubscribed via Import                                                                             
           555555555,             1613982,1613982@yahoo.com                                                                                                                                                                                                                                             ,2022-09-27 23:46:00.000,Unsubscribed via Import                                                                             
           555555555,             1613983,1613983@gmail.com                                                                                                                                                                                                                                             ,2022-09-28 00:15:00.000,Unsubscribed via Import                                                                             
           555555555,             1613988,1613988@gmail.com                                                                                                                                                                                                                                             ,2022-09-28 00:04:00.000,Unsubscribed via Import                                                                             
           555555555,             1614009,1614009@gmail.com                                                                                                                                                                                                                                             ,2022-10-19 17:50:00.000,Profile Center Unsubscribe                                                                          
           555555555,             1614027,1614027@gmail.com                                                                                                                                                                                                                                             ,2022-09-27 23:35:00.000,Unsubscribed via Import                                                                             
           555555555,             1614095,1614095@gmail.com                                                                                                                                                                                                                                             ,2022-09-28 00:11:00.000,Unsubscribed via Import                                                                             
           555555555,             1614122,1614122@gmail.com                                                                                                                                                                                                                                             ,2022-09-27 23:35:00.000,Unsubscribed via Import                                                                             
           555555555,             1614186,1614186@gmail.com                                                                                                                                                                                                                                             ,2022-09-27 23:49:00.000,Unsubscribed via Import                                                                             
           555555555,             1614221,1614221@aol.com                                                                                                                                                                                                                                               ,2022-09-27 23:51:00.000,Unsubscribed via Import                                                                             
           555555555,             1614222,1614222@aol.com                                                                                                                                                                                                                                               ,2022-09-28 00:18:00.000,Unsubscribed via Import                                                                             
           555555555,             1614267,1614267@gmail.com                                                                                                                                                                                                                                             ,2022-09-27 23:35:00.000,Unsubscribed via Import                                                                             
           555555555,             1614278,1614278@gmail.com                                                                                                                                                                                                                                             ,2022-09-28 00:12:00.000,Unsubscribed via Import                                                                             
           555555555,             1614289,1614289@gmail.com                                                                                                                                                                                                                                             ,2022-09-27 23:56:00.000,Unsubscribed via Import                                                                             
