addedby    ,addmethod        ,createddate            ,dateunsubscribed       ,emailaddress                                                                                                                                                                                                                                                  ,listid     ,listname                                          ,listtype        ,status      ,subscriberid,subscriberkey                                                                                                                                                                                                                                                 ,subscribertype                                                                                      
       1000,Import           ,2022-10-31 00:56:00.000,                   NULL,30571840@icloud.com                                                                                                                                                                                                                                           ,          1,devsunited                                        ,List            ,Active      ,    30571840,30571840@icloud.com                                                                                                                                                                                                                                           ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 00:56:00.000,                   NULL,41917347@yahoo.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    41917347,41917347@yahoo.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 00:56:00.000,                   NULL,42537832@yahoo.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    42537832,42537832@yahoo.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 00:57:00.000,                   NULL,35795514@aol.com                                                                                                                                                                                                                                              ,          1,devsunited                                        ,List            ,Active      ,    35795514,35795514@aol.com                                                                                                                                                                                                                                              ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 00:57:00.000,                   NULL,36850919@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    36850919,36850919@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 00:57:00.000,                   NULL,37100463@yahoo.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    37100463,37100463@yahoo.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 00:57:00.000,                   NULL,37865324@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    37865324,37865324@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 00:58:00.000,                   NULL,35722761@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    35722761,35722761@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 00:58:00.000,                   NULL,37568451@yahoo.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    37568451,37568451@yahoo.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 00:58:00.000,                   NULL,38004454@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    38004454,38004454@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 00:58:00.000,                   NULL,42810215@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    42810215,42810215@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 00:58:00.000,                   NULL,8184982@gmail.com                                                                                                                                                                                                                                             ,          1,devsunited                                        ,List            ,Active      ,     8184982,8184982@gmail.com                                                                                                                                                                                                                                             ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 00:59:00.000,                   NULL,35393622@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    35393622,35393622@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 00:59:00.000,                   NULL,35433530@hotmail.com                                                                                                                                                                                                                                          ,          1,devsunited                                        ,List            ,Active      ,    35433530,35433530@hotmail.com                                                                                                                                                                                                                                          ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 00:59:00.000,                   NULL,36375625@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    36375625,36375625@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 00:59:00.000,                   NULL,43779623@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    43779623,43779623@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:50:00.000,                   NULL,33249889@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    33249889,33249889@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:50:00.000,                   NULL,35891208@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    35891208,35891208@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:50:00.000,                   NULL,36070419@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    36070419,36070419@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:50:00.000,                   NULL,36966981@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    36966981,36966981@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:50:00.000,                   NULL,37379071@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    37379071,37379071@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:50:00.000,                   NULL,37776414@hotmail.com                                                                                                                                                                                                                                          ,          1,devsunited                                        ,List            ,Active      ,    37776414,37776414@hotmail.com                                                                                                                                                                                                                                          ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:50:00.000,                   NULL,38082762@yahoo.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    38082762,38082762@yahoo.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:50:00.000,                   NULL,38338928@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    38338928,38338928@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:50:00.000,                   NULL,39440281@yahoo.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    39440281,39440281@yahoo.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:50:00.000,                   NULL,40872240@yahoo.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    40872240,40872240@yahoo.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:50:00.000,                   NULL,41066006@gmail.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    41066006,41066006@gmail.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:50:00.000,                   NULL,41914143@yahoo.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    41914143,41914143@yahoo.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:50:00.000,                   NULL,43457314@yahoo.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    43457314,43457314@yahoo.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
       1000,Import           ,2022-10-31 12:50:00.000,                   NULL,43751444@yahoo.com                                                                                                                                                                                                                                            ,          1,devsunited                                        ,List            ,Active      ,    43751444,43751444@yahoo.com                                                                                                                                                                                                                                            ,ExactTarget                                                                                         
