contactid           ,contactkey                                                                                                                                            ,addressid                                                                                                                                             ,createddate            
            37225709,37225709@yahoo.com                                                                                                                                    ,40173119-2BE2-43CB-9655-BBC7F5414A02                                                                                                                  ,2022-10-31 12:58:00.000
            10642344,10642344@gmail.com                                                                                                                                    ,996A671C-7BE7-43A9-AE27-8F07AE1066FB                                                                                                                  ,2022-10-31 12:58:00.000
            38201812,38201812@yahoo.com                                                                                                                                    ,57AAFC53-EE1F-42A6-9E83-3F53FE47DFF9                                                                                                                  ,2022-10-31 12:58:00.000
            37195705,37195705@gmail.com                                                                                                                                    ,412FB4AF-E840-4E80-B42D-042025B3A84B                                                                                                                  ,2022-10-31 12:58:00.000
            38308678,38308678@aol.com                                                                                                                                      ,F5DB7FE9-A63A-4E73-AA00-450FE2AB1B1A                                                                                                                  ,2022-10-31 12:58:00.000
            36910234,36910234@yahoo.com                                                                                                                                    ,9957D57D-985F-49CD-BCF6-747A43CF6007                                                                                                                  ,2022-10-31 12:58:00.000
            37700784,37700784@gmail.com                                                                                                                                    ,32C96964-C672-479A-AB7A-9A625B8B512F                                                                                                                  ,2022-10-31 12:58:00.000
            38217139,38217139@hotmail.com                                                                                                                                  ,5E8AF7FB-DDE0-4B1F-AB37-090F1AE526BB                                                                                                                  ,2022-10-31 12:58:00.000
            36734127,36734127@icloud.com                                                                                                                                   ,ED8003FF-8079-4DD7-A68F-84F7ADD36D3A                                                                                                                  ,2022-10-31 12:58:00.000
            38134028,38134028@yahoo.com                                                                                                                                    ,36F84A2D-A429-4BDB-B88B-CC9CFDDC76DE                                                                                                                  ,2022-10-31 12:58:00.000
            35544569,35544569@yahoo.com                                                                                                                                    ,2C24AF51-6004-463D-9B1F-F686A787A6B1                                                                                                                  ,2022-10-31 12:58:00.000
            41401940,41401940@gmail.com                                                                                                                                    ,6BD3E472-1C35-4B68-BAB7-005143CA42CD                                                                                                                  ,2022-10-31 12:58:00.000
            35975920,35975920@gmail.com                                                                                                                                    ,BC57ECFB-9D0B-462F-A74C-156DC2DE712E                                                                                                                  ,2022-10-31 12:58:00.000
            33018909,33018909@gmail.com                                                                                                                                    ,FFE93988-A7FD-4989-8376-B27BA814CE85                                                                                                                  ,2022-10-31 12:58:00.000
            40956280,40956280@yahoo.com                                                                                                                                    ,8A3A2B47-4DEC-444D-AE07-E6D991EE53CB                                                                                                                  ,2022-10-31 12:58:00.000
            33163393,33163393@gmail.com                                                                                                                                    ,05365662-EC6D-45D9-910D-8DF339E2DAA7                                                                                                                  ,2022-10-31 12:58:00.000
             7729414,7729414@yahoo.com                                                                                                                                     ,75E31C3E-ADC8-4EB7-B862-4244468E1D15                                                                                                                  ,2022-10-31 12:58:00.000
            33523606,33523606@live.com                                                                                                                                     ,A1446A21-CCB6-4BEE-8E80-F709CDC7543E                                                                                                                  ,2022-10-31 12:58:00.000
            37568451,37568451@yahoo.com                                                                                                                                    ,8618D57E-7FA1-4F60-A01B-A2502AD02B8B                                                                                                                  ,2022-10-31 00:58:00.000
            35722761,35722761@gmail.com                                                                                                                                    ,E46E8518-423F-4667-852E-5B0CE8EB75F4                                                                                                                  ,2022-10-31 00:58:00.000
            38004454,38004454@gmail.com                                                                                                                                    ,33DC9032-72A3-4440-A503-D45738018025                                                                                                                  ,2022-10-31 00:58:00.000
             8184982,8184982@gmail.com                                                                                                                                     ,F40DFB30-14FA-4107-BE69-7E93D7FC57E8                                                                                                                  ,2022-10-31 00:58:00.000
            42810215,42810215@gmail.com                                                                                                                                    ,28372CC0-2EA0-4D42-ADEC-7782D18E1409                                                                                                                  ,2022-10-31 00:58:00.000
            36324572,36324572@hotmail.com                                                                                                                                  ,89894DB7-4089-48FF-AF77-20BE8F4EFD0F                                                                                                                  ,2022-10-31 12:57:00.000
            29447789,29447789@gmail.com                                                                                                                                    ,EE1F144D-D2A2-4060-840A-1C525C02AEE2                                                                                                                  ,2022-10-31 12:57:00.000
            42654506,42654506@yahoo.com                                                                                                                                    ,84DBAF13-F77C-4D90-B1D1-FA5CA3CC0305                                                                                                                  ,2022-10-31 12:57:00.000
            38202997,38202997@icloud.com                                                                                                                                   ,52797DB3-A9AD-4D0E-B5DC-183DDB0B3BFC                                                                                                                  ,2022-10-31 12:57:00.000
            31494460,31494460@gmail.com                                                                                                                                    ,115C3DE7-EC4B-43D2-A613-377904FC8F49                                                                                                                  ,2022-10-31 12:57:00.000
            28777404,28777404@hotmail.com                                                                                                                                  ,BF790560-E859-44BE-ADF4-C4D95A669EB6                                                                                                                  ,2022-10-31 12:57:00.000
            31879773,31879773@gmail.com                                                                                                                                    ,61B2ECB4-E03E-45F7-9EAB-26C908339415                                                                                                                  ,2022-10-31 12:57:00.000
             7451983,7451983@hotmail.com                                                                                                                                   ,F4CABE5C-27E1-4F2E-9311-49DD20D4DC4C                                                                                                                  ,2022-10-31 12:57:00.000
            28575966,28575966@gmail.com                                                                                                                                    ,2F889313-FC65-4919-93ED-97E0F8C2C4BE                                                                                                                  ,2022-10-31 12:57:00.000
            43606408,43606408@gmail.com                                                                                                                                    ,97DCCA36-C2A3-4956-905E-28076E3ABAAA                                                                                                                  ,2022-10-31 12:57:00.000
            30763649,30763649@yahoo.com                                                                                                                                    ,9441EEA9-5AF1-4A17-80C9-ADE67A5A0C4F                                                                                                                  ,2022-10-31 12:57:00.000
            29672442,29672442@yahoo.com                                                                                                                                    ,2E887368-CFEB-4AB0-8418-1CA8D2BC368B                                                                                                                  ,2022-10-31 12:57:00.000
            43873748,43873748@gmail.com                                                                                                                                    ,40FA559E-0917-48AC-A0FD-D386257A2B00                                                                                                                  ,2022-10-31 12:57:00.000
            43446717,43446717@gmail.com                                                                                                                                    ,81D3601F-15DC-4825-B620-C66D7D718630                                                                                                                  ,2022-10-31 12:57:00.000
            30743642,30743642@comcast.net                                                                                                                                  ,DD1B7133-E166-4198-805B-3B52DE70C2E3                                                                                                                  ,2022-10-31 12:57:00.000
            35280293,35280293@gmail.com                                                                                                                                    ,F8DE6E6E-07A2-4AE6-A8EA-E0ED6A70D3D0                                                                                                                  ,2022-10-31 12:57:00.000
            38244366,38244366@gmail.com                                                                                                                                    ,DBC076F4-E33C-4506-BAE3-55F706E6264F                                                                                                                  ,2022-10-31 12:57:00.000
            36407512,36407512@gmail.com                                                                                                                                    ,27A34AA9-5AAD-459B-B1F2-5E23A51D5DC9                                                                                                                  ,2022-10-31 12:57:00.000
            34713696,34713696@yahoo.com                                                                                                                                    ,76DDC125-F805-411E-9FDB-8D87C3F514D7                                                                                                                  ,2022-10-31 12:57:00.000
            38225386,38225386@icloud.com                                                                                                                                   ,616D5E60-A48A-4DCB-B6D5-86A091A6717C                                                                                                                  ,2022-10-31 12:57:00.000
            38106904,38106904@gmail.com                                                                                                                                    ,FE1365D3-4A56-413D-8F43-C5410501333B                                                                                                                  ,2022-10-31 12:57:00.000
            36670778,36670778@hotmail.com                                                                                                                                  ,AE4B7E4E-E675-4364-8E69-BE627124D8FF                                                                                                                  ,2022-10-31 12:57:00.000
            37766820,37766820@yahoo.com                                                                                                                                    ,185E93E0-4FCF-4D76-B600-8BFA3DF2B728                                                                                                                  ,2022-10-31 12:57:00.000
             8773427,8773427@yahoo.com                                                                                                                                     ,0F4AD011-6538-48A1-BAF8-A9F4C0CD452D                                                                                                                  ,2022-10-31 12:57:00.000
             8273286,8273286@gmail.com                                                                                                                                     ,EFE7BE5A-9BA8-4F24-BF4B-F2E67A4FEFB3                                                                                                                  ,2022-10-31 12:57:00.000
            36694366,36694366@gmail.com                                                                                                                                    ,6095F6A5-8551-4BBF-8E30-59E0DAF75F23                                                                                                                  ,2022-10-31 12:57:00.000
            36850919,36850919@gmail.com                                                                                                                                    ,8B899769-4761-4FA0-A655-DBAB414F5503                                                                                                                  ,2022-10-31 00:57:00.000
            35795514,35795514@aol.com                                                                                                                                      ,2E0E5C90-E2F1-4F3B-A773-7451CBA40C42                                                                                                                  ,2022-10-31 00:57:00.000
            37865324,37865324@gmail.com                                                                                                                                    ,CE1261E5-C85B-4DDD-9408-C050AF1DC7D1                                                                                                                  ,2022-10-31 00:57:00.000
            37100463,37100463@yahoo.com                                                                                                                                    ,2308510B-0EA1-4AD2-8A06-085DD79C9727                                                                                                                  ,2022-10-31 00:57:00.000
            35167201,35167201@yahoo.com                                                                                                                                    ,05F15437-340C-4972-8642-8BDE4A78399F                                                                                                                  ,2022-10-31 12:56:00.000
            43347016,43347016@yahoo.com                                                                                                                                    ,F75F178D-0C46-4F61-A48B-05F4C4E36286                                                                                                                  ,2022-10-31 12:56:00.000
            36660616,36660616@yahoo.com                                                                                                                                    ,881458E2-1EDB-4D71-8426-01E57023EE05                                                                                                                  ,2022-10-31 12:56:00.000
            43635325,43635325@gmail.com                                                                                                                                    ,D0B89130-A88A-420E-BBE7-1B59ECFE26EA                                                                                                                  ,2022-10-31 12:56:00.000
            43468841,43468841@gmail.com                                                                                                                                    ,89F36FD3-EBF9-4996-89AC-818730286564                                                                                                                  ,2022-10-31 12:56:00.000
            34965361,34965361@gmail.com                                                                                                                                    ,742615FA-E639-4D09-9CF3-7C93C1CDD578                                                                                                                  ,2022-10-31 12:56:00.000
            39172593,39172593@gmail.com                                                                                                                                    ,00B09971-F6AD-40EF-A806-12F3579138CA                                                                                                                  ,2022-10-31 12:56:00.000
            42582923,42582923@icloud.com                                                                                                                                   ,00729DC4-8977-41EC-841C-1B963000E6C9                                                                                                                  ,2022-10-31 12:56:00.000
            37555338,37555338@gmail.com                                                                                                                                    ,CE252290-16C4-4D0E-9A6E-7A47A9A27C2E                                                                                                                  ,2022-10-31 12:56:00.000
            37978568,37978568@gmail.com                                                                                                                                    ,EA0D25B8-01E8-4026-915F-91769F560B52                                                                                                                  ,2022-10-31 12:56:00.000
            37489618,37489618@gmail.com                                                                                                                                    ,8552A20B-3FBE-4ABD-AD3C-CAB25D5EB602                                                                                                                  ,2022-10-31 12:56:00.000
            37280701,37280701@yahoo.com                                                                                                                                    ,7338D338-F174-4E7E-A183-44D1F8C83474                                                                                                                  ,2022-10-31 12:56:00.000
            35152804,35152804@hotmail.com                                                                                                                                  ,90F9A244-4D2D-4681-B4C3-8AECE104A5F7                                                                                                                  ,2022-10-31 12:56:00.000
            37795716,37795716@aol.com                                                                                                                                      ,2EA7D512-2D2F-4818-B0D5-1D94A8ED5004                                                                                                                  ,2022-10-31 12:56:00.000
            35607419,35607419@gmail.com                                                                                                                                    ,C96D8154-932C-49FD-B6DD-46475B1FBC6A                                                                                                                  ,2022-10-31 12:56:00.000
            42744328,42744328@gmail.com                                                                                                                                    ,1F561669-DA28-40A8-A137-0439CFC1B313                                                                                                                  ,2022-10-31 12:56:00.000
            43583172,43583172@yahoo.com                                                                                                                                    ,C9095B21-7C25-4376-BCD5-8F0710FB043B                                                                                                                  ,2022-10-31 12:56:00.000
            13743472,13743472@gmail.com                                                                                                                                    ,1C7CE102-4AF1-45BA-9E36-F5D0740ECA8D                                                                                                                  ,2022-10-31 12:56:00.000
             3286061,3286061@gmail.com                                                                                                                                     ,E8CAA1C3-9D53-489A-B82E-7A5F6459286E                                                                                                                  ,2022-10-31 12:56:00.000
            42537832,42537832@yahoo.com                                                                                                                                    ,BD8C080C-20DB-48AE-85ED-962A2DF9FBFE                                                                                                                  ,2022-10-31 00:56:00.000
            30571840,30571840@icloud.com                                                                                                                                   ,BB0718DE-1C71-4F88-AF87-36087D48CA1B                                                                                                                  ,2022-10-31 00:56:00.000
            41917347,41917347@yahoo.com                                                                                                                                    ,9D973AEE-923C-44B5-A8FA-043C82434944                                                                                                                  ,2022-10-31 00:56:00.000
            39227656,39227656@gmail.com                                                                                                                                    ,6F838B65-1469-4488-8A1E-7E785BA3849E                                                                                                                  ,2022-10-31 12:55:00.000
            34943835,34943835@gmail.com                                                                                                                                    ,4497C513-EBB5-4F79-959E-9E4F7E2F2C83                                                                                                                  ,2022-10-31 12:55:00.000
             6053227,6053227@yahoo.com                                                                                                                                     ,8C8DEE2D-B32E-44B2-9E5E-86E558CB4A07                                                                                                                  ,2022-10-31 12:55:00.000
            43128198,43128198@gmail.com                                                                                                                                    ,3BC38501-9B9B-4B08-A6BB-43FC96C982F1                                                                                                                  ,2022-10-31 12:55:00.000
            37687794,37687794@gmail.com                                                                                                                                    ,DC6DF9F5-B985-45FD-85BB-BB011E2BEC20                                                                                                                  ,2022-10-31 12:55:00.000
            16446816,16446816@GMAIL.COM                                                                                                                                    ,C249BDDC-40F9-4216-B5BD-1A27DC7940BB                                                                                                                  ,2022-10-31 12:55:00.000
            43760639,43760639@gmail.com                                                                                                                                    ,A928E3BD-E597-40E2-B594-F546ABC7DD99                                                                                                                  ,2022-10-31 12:55:00.000
            43780353,43780353@gmail.com                                                                                                                                    ,22E68318-0B6F-47E4-9427-86B4322703D8                                                                                                                  ,2022-10-31 12:55:00.000
            43454643,43454643@gmail.com                                                                                                                                    ,843DF621-0ABD-49F7-9949-B3EDF1A365AE                                                                                                                  ,2022-10-31 12:55:00.000
            29729152,29729152@gmail.com                                                                                                                                    ,3128F995-9F48-466E-8785-1E9CF234FA2C                                                                                                                  ,2022-10-31 12:55:00.000
            43758445,43758445@gmail.com                                                                                                                                    ,534EB243-C31A-4774-8534-E52D84290AB6                                                                                                                  ,2022-10-31 12:55:00.000
            42290446,42290446@gmail.com                                                                                                                                    ,CEDC20CE-E735-4803-9540-BDC7A2936562                                                                                                                  ,2022-10-31 12:55:00.000
            36410229,36410229@icloud.com                                                                                                                                   ,2803C54C-61B5-4B87-9AEE-D3402A3F3EAB                                                                                                                  ,2022-10-31 12:55:00.000
            36801697,36801697@aol.com                                                                                                                                      ,096EEBC6-8194-4EAF-A4EC-3B2FA0E40658                                                                                                                  ,2022-10-31 12:55:00.000
            43622522,43622522@icloud.com                                                                                                                                   ,7E97B17E-488F-4A69-A92D-BD253A494B42                                                                                                                  ,2022-10-31 12:55:00.000
             6670861,6670861@hotmail.com                                                                                                                                   ,0BF856A3-FAEF-422F-B875-ED704650FB6D                                                                                                                  ,2022-10-31 12:55:00.000
            34275693,34275693@gmail.com                                                                                                                                    ,4C2E24BF-ECE4-4CCD-8549-7B87969BFB12                                                                                                                  ,2022-10-31 12:55:00.000
            36194735,36194735@hotmail.com                                                                                                                                  ,A7E54DAF-015F-48E5-9798-EC2021339F9A                                                                                                                  ,2022-10-31 12:55:00.000
             9391094,9391094@gmail.com                                                                                                                                     ,9872CDF6-77AD-4945-BCB9-E7BA86C7F751                                                                                                                  ,2022-10-31 12:55:00.000
            37933951,37933951@gmail.com                                                                                                                                    ,0F03AAC7-5235-4493-B3B6-1F3CDB939AAB                                                                                                                  ,2022-10-31 12:55:00.000
            36703614,36703614@gmail.com                                                                                                                                    ,A4187536-BFBC-4BF3-98EB-83D47E62206B                                                                                                                  ,2022-10-31 12:55:00.000
            34509629,34509629@yahoo.com                                                                                                                                    ,D32E5951-9D32-473E-82B6-1D786627BD1D                                                                                                                  ,2022-10-31 12:55:00.000
            36319681,36319681@yahoo.com                                                                                                                                    ,DEE6A63E-F255-4DE9-90FC-5C82792D7396                                                                                                                  ,2022-10-31 12:55:00.000
            36602449,36602449@hotmail.com                                                                                                                                  ,6AF3E764-5FB2-47DB-BDBD-0DFD7D44AF3B                                                                                                                  ,2022-10-31 12:55:00.000
            38074042,38074042@yahoo.com                                                                                                                                    ,11CD52DB-5D6F-4951-9657-250B17A1CC0F                                                                                                                  ,2022-10-31 12:55:00.000
            17026146,17026146@gmail.com                                                                                                                                    ,883909FE-A3DC-456D-90B0-6C8C024AB774                                                                                                                  ,2022-10-31 12:55:00.000
            18686987,18686987@live.com                                                                                                                                     ,4CA9F0AE-B5CC-404C-9E8B-A3937E278FFB                                                                                                                  ,2022-10-31 00:55:00.000
            38197486,38197486@gmail.com                                                                                                                                    ,33C99A3C-F067-43F0-AF48-55A10AF5C09D                                                                                                                  ,2022-10-31 00:55:00.000
            37676704,37676704@gmail.com                                                                                                                                    ,ABD8B90B-C494-4E34-BDE3-33E81BFC782C                                                                                                                  ,2022-10-31 00:55:00.000

(150 rows affected)
