mobilenumber   ,undeliverable,bouncecount,firstbouncedate        ,holddate               
1-135-612-2591 ,            1,          7,2023-12-13 00:00:00.000,2023-06-08 00:00:00.000
1-371-276-5556 ,            1,          4,2023-09-20 00:00:00.000,2023-04-21 00:00:00.000
1-821-434-6396 ,            0,          3,2022-04-28 00:00:00.000,2023-06-10 00:00:00.000
1-657-204-7871 ,            0,          4,2023-08-31 00:00:00.000,2023-08-14 00:00:00.000
1-799-561-7134 ,            1,          7,2022-09-08 00:00:00.000,2023-06-23 00:00:00.000
1-810-735-3744 ,            1,         10,2023-08-24 00:00:00.000,2023-12-06 00:00:00.000
1-537-411-5225 ,            0,          9,2023-07-30 00:00:00.000,2023-12-15 00:00:00.000
1-686-657-4469 ,            1,          4,2023-01-29 00:00:00.000,2023-05-06 00:00:00.000
1-661-995-5154 ,            0,          5,2022-09-14 00:00:00.000,2023-03-29 00:00:00.000
1-147-706-3873 ,            1,          9,2022-03-25 00:00:00.000,2023-06-25 00:00:00.000
1-214-631-7889 ,            1,          7,2022-04-12 00:00:00.000,2022-11-24 00:00:00.000
1-269-231-3672 ,            0,          5,2023-10-26 00:00:00.000,2023-09-02 00:00:00.000
1-984-936-4167 ,            1,          1,2022-09-16 00:00:00.000,2022-04-24 00:00:00.000
1-556-279-2048 ,            0,          7,2022-12-22 00:00:00.000,2023-10-21 00:00:00.000
1-782-817-3829 ,            1,          6,2023-04-19 00:00:00.000,2022-06-05 00:00:00.000
1-851-167-1873 ,            0,          8,2023-10-01 00:00:00.000,2022-11-04 00:00:00.000
1-429-121-7551 ,            1,          2,2024-02-01 00:00:00.000,2024-02-22 00:00:00.000
1-874-723-1021 ,            1,          4,2023-02-26 00:00:00.000,2023-10-17 00:00:00.000
1-376-255-5018 ,            1,          8,2023-12-15 00:00:00.000,2023-10-16 00:00:00.000
1-662-650-7204 ,            0,          7,2022-11-15 00:00:00.000,2023-10-20 00:00:00.000
1-714-901-8506 ,            0,          7,2024-02-13 00:00:00.000,2023-11-27 00:00:00.000
1-971-336-9553 ,            1,          5,2023-09-09 00:00:00.000,2023-11-26 00:00:00.000
1-414-137-8171 ,            1,          8,2022-11-13 00:00:00.000,2022-10-26 00:00:00.000
1-419-384-4638 ,            0,          7,2023-05-09 00:00:00.000,2023-11-11 00:00:00.000
1-443-271-2541 ,            1,          9,2023-09-25 00:00:00.000,2023-08-14 00:00:00.000
1-692-768-4141 ,            0,          4,2022-07-29 00:00:00.000,2022-08-02 00:00:00.000
1-851-473-5512 ,            1,          4,2023-11-04 00:00:00.000,2022-11-21 00:00:00.000
1-418-461-3172 ,            0,          9,2023-04-13 00:00:00.000,2023-10-23 00:00:00.000
1-874-811-6164 ,            1,          5,2022-07-11 00:00:00.000,2023-11-06 00:00:00.000
1-258-137-4441 ,            1,          5,2023-08-27 00:00:00.000,2023-05-21 00:00:00.000
1-220-376-2406 ,            0,          9,2022-10-14 00:00:00.000,2023-10-23 00:00:00.000
1-787-847-4804 ,            0,          8,2022-12-04 00:00:00.000,2023-09-04 00:00:00.000
1-426-512-1883 ,            1,          5,2023-08-25 00:00:00.000,2023-03-22 00:00:00.000
1-455-745-2284 ,            0,          8,2022-12-19 00:00:00.000,2023-03-20 00:00:00.000
1-928-164-5757 ,            0,          3,2023-08-26 00:00:00.000,2022-06-16 00:00:00.000
1-207-502-9875 ,            0,          7,2023-02-22 00:00:00.000,2023-04-24 00:00:00.000
1-168-178-9312 ,            0,          9,2023-04-03 00:00:00.000,2022-05-11 00:00:00.000
1-798-604-1493 ,            1,          8,2023-12-11 00:00:00.000,2022-08-19 00:00:00.000
1-714-936-7668 ,            1,          4,2022-11-16 00:00:00.000,2022-12-31 00:00:00.000
1-542-314-1587 ,            0,          9,2022-03-07 00:00:00.000,2022-09-19 00:00:00.000
1-754-979-1874 ,            0,          9,2024-02-14 00:00:00.000,2022-06-12 00:00:00.000
1-917-863-6271 ,            0,          3,2023-06-07 00:00:00.000,2022-05-12 00:00:00.000
1-352-363-1391 ,            0,          1,2024-02-27 00:00:00.000,2023-05-07 00:00:00.000
1-203-613-4212 ,            0,          6,2023-02-13 00:00:00.000,2024-02-03 00:00:00.000
1-895-774-6815 ,            0,          6,2022-04-13 00:00:00.000,2022-10-24 00:00:00.000
1-715-522-3464 ,            1,          5,2022-05-02 00:00:00.000,2023-05-02 00:00:00.000
1-444-556-3282 ,            0,          9,2022-06-26 00:00:00.000,2023-07-12 00:00:00.000
1-442-574-9201 ,            1,          4,2023-12-12 00:00:00.000,2022-10-13 00:00:00.000
1-554-763-8734 ,            1,          7,2023-05-29 00:00:00.000,2022-08-02 00:00:00.000
1-413-880-3994 ,            0,         10,2023-03-05 00:00:00.000,2023-09-12 00:00:00.000
1-317-614-6426 ,            1,          5,2022-06-17 00:00:00.000,2022-10-28 00:00:00.000
1-117-844-8713 ,            1,          6,2023-03-21 00:00:00.000,2024-02-24 00:00:00.000
1-807-255-6678 ,            0,         10,2023-03-27 00:00:00.000,2023-06-16 00:00:00.000
1-647-712-6266 ,            0,          9,2023-10-22 00:00:00.000,2023-06-20 00:00:00.000
1-786-656-3929 ,            1,          8,2022-04-02 00:00:00.000,2022-11-17 00:00:00.000
1-313-450-7754 ,            1,          6,2022-11-30 00:00:00.000,2022-09-13 00:00:00.000
1-231-251-5747 ,            1,          3,2024-01-18 00:00:00.000,2023-03-10 00:00:00.000
1-852-822-3135 ,            1,         10,2022-06-04 00:00:00.000,2023-12-15 00:00:00.000
1-954-507-2567 ,            0,         10,2022-06-21 00:00:00.000,2022-09-08 00:00:00.000
1-541-261-8644 ,            0,          9,2022-03-22 00:00:00.000,2023-03-31 00:00:00.000
1-856-324-5586 ,            0,          9,2023-10-21 00:00:00.000,2023-02-03 00:00:00.000
1-294-785-5556 ,            0,         10,2023-04-30 00:00:00.000,2022-09-04 00:00:00.000
1-765-454-1687 ,            0,          9,2023-10-01 00:00:00.000,2022-12-15 00:00:00.000
1-843-422-5783 ,            0,          3,2022-09-11 00:00:00.000,2024-01-31 00:00:00.000
1-237-366-1477 ,            1,          4,2022-09-16 00:00:00.000,2023-11-28 00:00:00.000
1-538-754-3233 ,            0,          6,2022-05-01 00:00:00.000,2023-11-24 00:00:00.000
1-313-746-2679 ,            0,          7,2023-09-29 00:00:00.000,2022-04-22 00:00:00.000
1-756-106-5278 ,            0,          3,2022-09-05 00:00:00.000,2023-08-01 00:00:00.000
1-626-443-1611 ,            1,          9,2023-07-07 00:00:00.000,2023-04-02 00:00:00.000
1-327-271-6196 ,            0,          5,2022-07-12 00:00:00.000,2023-04-26 00:00:00.000
1-510-659-2163 ,            1,          4,2022-12-30 00:00:00.000,2023-07-24 00:00:00.000
1-534-738-8056 ,            1,          5,2023-03-09 00:00:00.000,2022-10-12 00:00:00.000
1-411-222-6790 ,            1,          8,2022-10-17 00:00:00.000,2022-09-23 00:00:00.000
1-831-423-4278 ,            0,         10,2023-06-24 00:00:00.000,2022-05-16 00:00:00.000
1-985-352-2673 ,            1,          6,2022-05-26 00:00:00.000,2023-09-25 00:00:00.000
1-536-821-3596 ,            0,          6,2023-04-18 00:00:00.000,2023-08-05 00:00:00.000

(100 rows affected)
