accountid  ,oybaccountid,jobid      ,listid     ,batchid    ,subscriberid,subscriberkey                                                                                                                                                                                                                                                 ,transactiontime        ,domain                                                                                                                          ,isunique,triggerersenddefinitionobjectid                                                                                                                                                                                                                                ,triggeredsendcustomerkey            
  555555555,   555555556,      20817,        340,      11002,     4518651,4518651@yahoo.com                                                                                                                                                                                                                                             ,2022-10-31 11:18:00.000,devsutd.com                                                                                                                     ,       1,4518651                                                                                                                                                                                                                                                        ,8699625E-930B-4B36-8890-7A1D04D9D0BB
  555555555,   555555556,      20906,        340,      22193,    38731650,38731650@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 11:17:00.000,devsutd.com                                                                                                                     ,       1,38731650                                                                                                                                                                                                                                                       ,CDBE592F-9644-4C27-8381-28BC4095D817
  555555555,   555555556,      20904,        340,      16022,    38180061,38180061@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 11:16:00.000,devsutd.com                                                                                                                     ,       1,38180061                                                                                                                                                                                                                                                       ,A0E0AEB9-BDD3-48DA-9618-25866A3D9D1A
  555555555,   555555556,      20912,        340,       1004,     9918771,9918771@YAHOO.COM                                                                                                                                                                                                                                             ,2022-10-31 11:14:00.000,devsutd.com                                                                                                                     ,       1,9918771                                                                                                                                                                                                                                                        ,C1103655-4863-498F-8C8F-AA22E7E5FEC0
  555555555,   555555556,      20905,        340,      20004,     9918771,9918771@YAHOO.COM                                                                                                                                                                                                                                             ,2022-10-31 11:13:00.000,devsutd.com                                                                                                                     ,       1,9918771                                                                                                                                                                                                                                                        ,7F628D17-313E-4CB0-8FED-1B8E82BABA62
  555555555,   555555556,      20902,        340,      24036,    40766218,40766218@hotmail.com                                                                                                                                                                                                                                          ,2022-10-31 11:11:00.000,devsutd.com                                                                                                                     ,       1,40766218                                                                                                                                                                                                                                                       ,16CED426-B036-46DD-A341-F3E6D368A6A9
  555555555,   555555556,      20903,        340,      10016,    35085119,35085119@hotmail.com                                                                                                                                                                                                                                          ,2022-10-31 11:10:00.000,devsutd.com                                                                                                                     ,       1,35085119                                                                                                                                                                                                                                                       ,1586ECDC-DB06-48B7-B9E8-D829787355AC
  555555555,   555555556,      20904,        340,       1043,    36800596,36800596@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 11:10:00.000,devsutd.com                                                                                                                     ,       1,36800596                                                                                                                                                                                                                                                       ,5EF2DE41-B0AA-4431-AF80-8B9C7654FBE2
  555555555,   555555556,      20904,        340,      11006,    33319122,33319122@AOL.COM                                                                                                                                                                                                                                              ,2022-10-31 11:10:00.000,devsutd.com                                                                                                                     ,       1,33319122                                                                                                                                                                                                                                                       ,EE0023D8-16C8-440B-AA05-E85A74926C50
  555555555,   555555556,      20903,        340,       9023,    37770119,37770119@comcast.net                                                                                                                                                                                                                                          ,2022-10-31 11:04:00.000,devsutd.com                                                                                                                     ,       1,37770119                                                                                                                                                                                                                                                       ,F5464024-5D8A-4D6B-8574-4E1CF7263BB1
  555555555,   555555556,      20906,        340,       9070,    35142526,35142526@live.com                                                                                                                                                                                                                                             ,2022-10-31 11:03:00.000,devsutd.com                                                                                                                     ,       1,35142526                                                                                                                                                                                                                                                       ,DE8F26C3-D009-4B57-A1D6-5DF895FFD486
  555555555,   555555556,      19644,        340,      30216,    43867891,43867891@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 11:02:00.000,devsutd.com                                                                                                                     ,       1,43867891                                                                                                                                                                                                                                                       ,0F0315AB-2FE6-467F-9693-A664A45E271D
  555555555,   555555556,      20907,        340,      29057,    36157488,36157488@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 10:55:00.000,devsutd.com                                                                                                                     ,       1,36157488                                                                                                                                                                                                                                                       ,E27CACB8-91B1-4073-ADA8-67857A10ABC8
  555555555,   555555556,      20906,        340,      13040,    26921962,26921962@hotmail.com                                                                                                                                                                                                                                          ,2022-10-31 10:49:00.000,devsutd.com                                                                                                                     ,       1,26921962                                                                                                                                                                                                                                                       ,B2C04D4A-6027-48F0-B144-91A31BBB1729
  555555555,   555555556,      20905,        340,      20012,    34791005,34791005@aol.com                                                                                                                                                                                                                                              ,2022-10-31 10:44:00.000,devsutd.com                                                                                                                     ,       1,34791005                                                                                                                                                                                                                                                       ,40F1D0DC-14F3-472B-88D8-C3911C30FD28
  555555555,   555555556,      20906,        340,      12299,    43479832,43479832@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 10:41:00.000,devsutd.com                                                                                                                     ,       1,43479832                                                                                                                                                                                                                                                       ,36486A6D-DD80-464B-BE0B-EAE10572A476
  555555555,   555555556,      19647,        340,      17533,    43044002,43044002@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 10:41:00.000,devsutd.com                                                                                                                     ,       1,43044002                                                                                                                                                                                                                                                       ,607322F1-536D-4FB8-B55D-D1A97E8C62E7
  555555555,   555555556,      20919,        340,      18011,    35321472,35321472@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 10:40:00.000,devsutd.com                                                                                                                     ,       1,35321472                                                                                                                                                                                                                                                       ,4DAD5A7E-6B4A-4C9F-A5CB-07DCEF4065B1
  555555555,   555555556,      20906,        340,      13154,    39040048,39040048@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 10:39:00.000,devsutd.com                                                                                                                     ,       1,39040048                                                                                                                                                                                                                                                       ,72284159-FA28-4486-840F-70C12C73242B
  555555555,   555555556,      20904,        340,      13014,    36431107,36431107@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 10:36:00.000,devsutd.com                                                                                                                     ,       1,36431107                                                                                                                                                                                                                                                       ,E33A8BC6-92FA-4AA4-B594-7C63ABE5C6E7
  555555555,   555555556,      20905,        340,       9014,    36569998,36569998@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 10:33:00.000,devsutd.com                                                                                                                     ,       1,36569998                                                                                                                                                                                                                                                       ,F74938CD-BBEE-425C-95BB-C4AE03A65D6E
  555555555,   555555556,      20906,        340,       3156,    38235802,38235802@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 10:26:00.000,devsutd.com                                                                                                                     ,       1,38235802                                                                                                                                                                                                                                                       ,17E9C298-FA2F-46FD-A38D-132D622372EA
  555555555,   555555556,      20906,        340,      30150,    37604519,37604519@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 10:25:00.000,devsutd.com                                                                                                                     ,       1,37604519                                                                                                                                                                                                                                                       ,D0EE3650-6E7E-4686-B082-A221F3A42270
  555555555,   555555556,      20907,        340,      24043,    35999537,35999537@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 10:25:00.000,devsutd.com                                                                                                                     ,       1,35999537                                                                                                                                                                                                                                                       ,83C4C4FF-54A7-4C9C-9879-CF36A9200BAC
  555555555,   555555556,      20902,        340,       5053,    42388835,42388835@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 10:25:00.000,devsutd.com                                                                                                                     ,       1,42388835                                                                                                                                                                                                                                                       ,24E8C36D-E964-4B6B-AD66-46259829F24D
  555555555,   555555556,      20906,        340,      12059,    35294049,35294049@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 10:23:00.000,devsutd.com                                                                                                                     ,       1,35294049                                                                                                                                                                                                                                                       ,0EAB9052-D067-40E1-804E-5C8AFF34DD3B
  555555555,   555555556,      20902,        340,      29098,    43619172,43619172@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 10:11:00.000,devsutd.com                                                                                                                     ,       1,43619172                                                                                                                                                                                                                                                       ,811A5782-E0D5-40F5-B15A-65B2F94F6148
  555555555,   555555556,      20904,        340,       9014,    35184355,35184355@comcast.net                                                                                                                                                                                                                                          ,2022-10-31 10:04:00.000,devsutd.com                                                                                                                     ,       1,35184355                                                                                                                                                                                                                                                       ,57BB8EA0-95BC-47D6-9CB7-B90157C4A38A
  555555555,   555555556,      20913,        340,       8186,    39197935,39197935@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 10:00:00.000,devsutd.com                                                                                                                     ,       1,39197935                                                                                                                                                                                                                                                       ,3938B083-C69C-49A4-B1B2-F5FABF2091F3
  555555555,   555555556,      20928,        340,       4004,     9810237,9810237@aol.com                                                                                                                                                                                                                                               ,2022-10-31 09:30:00.000,devsutd.com                                                                                                                     ,       1,9810237                                                                                                                                                                                                                                                        ,E375045C-AA8A-49DE-8DD3-95C1AF379EA9
  555555555,   555555556,      20928,        340,         14,    35859306,35859306@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 09:13:00.000,devsutd.com                                                                                                                     ,       1,35859306                                                                                                                                                                                                                                                       ,CD4B837D-3B5C-457C-A5B7-B3A7D8F89219
  555555555,   555555556,      20924,        340,      10013,    35859306,35859306@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 09:13:00.000,devsutd.com                                                                                                                     ,       1,35859306                                                                                                                                                                                                                                                       ,1C24536E-ABE2-45C1-AD13-0264DA0679EF
  555555555,   555555556,      20919,        340,      31017,    35859306,35859306@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 09:13:00.000,devsutd.com                                                                                                                     ,       1,35859306                                                                                                                                                                                                                                                       ,58EEA668-7B81-4E4B-BADC-0FA5300423B0
  555555555,   555555556,      20892,        340,       2017,    35859306,35859306@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 09:13:00.000,devsutd.com                                                                                                                     ,       1,35859306                                                                                                                                                                                                                                                       ,07306ED1-30F7-41CA-83C3-4A866A99B526
  555555555,   555555556,      20910,        340,      25017,    35859306,35859306@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 09:13:00.000,devsutd.com                                                                                                                     ,       1,35859306                                                                                                                                                                                                                                                       ,32EB75B6-D604-4A0D-95A5-D01DDC66D2BD
  555555555,   555555556,      20797,        340,        780,    43596657,43596657@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 09:08:00.000,devsutd.com                                                                                                                     ,       1,43596657                                                                                                                                                                                                                                                       ,75737A36-AB8B-460A-9E69-7A3AD21F3628
  555555555,   555555556,      20796,        340,       1269,    43792608,43792608@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 08:43:00.000,devsutd.com                                                                                                                     ,       1,43792608                                                                                                                                                                                                                                                       ,1C89CFD9-871B-44C7-A802-023436B9A408
  555555555,   555555556,      19633,        340,      20767,    42782060,42782060@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 08:26:00.000,devsutd.com                                                                                                                     ,       1,42782060                                                                                                                                                                                                                                                       ,A246AE9A-330D-4CCF-A2FA-4A5C37BF6969
  555555555,   555555556,      18874,        340,      13008,     8004190,8004190@hotmail.com                                                                                                                                                                                                                                           ,2022-10-31 08:19:00.000,devsutd.com                                                                                                                     ,       1,8004190                                                                                                                                                                                                                                                        ,FD7E5258-DB03-4B13-81C5-C9B9F0E70AA2
  555555555,   555555556,      20796,        340,       1201,    43788951,43788951@hotmail.com                                                                                                                                                                                                                                          ,2022-10-31 08:00:00.000,devsutd.com                                                                                                                     ,       1,43788951                                                                                                                                                                                                                                                       ,16B87946-0E25-423F-86D4-24E528BEE7F9
  555555555,   555555556,      20817,        340,      18082,    38772028,38772028@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 07:55:00.000,devsutd.com                                                                                                                     ,       1,38772028                                                                                                                                                                                                                                                       ,74B824B3-C00F-4E59-958D-7FCEA72DE5C2
  555555555,   555555556,      19647,        340,      10987,    29158065,29158065@yahoo.com                                                                                                                                                                                                                                            ,2022-10-31 07:53:00.000,devsutd.com                                                                                                                     ,       1,29158065                                                                                                                                                                                                                                                       ,E778E2AB-0051-493A-AB66-D78D50491686
  555555555,   555555556,      20762,        340,      16015,    35187605,35187605@aol.com                                                                                                                                                                                                                                              ,2022-10-31 07:38:00.000,devsutd.com                                                                                                                     ,       1,35187605                                                                                                                                                                                                                                                       ,F3EFD53C-8AB3-40D4-A167-B4B4711335A8
